Coin,Strategy,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,Full Year
ARB,Long Win Rate,0.260,0.440,0.400,0.300,0.210,0.170,0.360,0.130,0.430,0.380,0.470,0.400,0.340
ARB,Short Returns,-0.010,0.132,0.041,0.017,0.500,0.116,-0.058,0.021,0.629,-0.015,-0.153,0.015,2.014
ARB,Short Trades,33,31,33,21,28,36,25,26,25,20,23,22,319
ARB,Short Win Rate,0.330,0.480,0.480,0.430,0.540,0.330,0.320,0.380,0.520,0.400,0.300,0.410,0.410
ARB,Long/Short Returns,0.250,0.320,0.106,0.051,0.381,0.078,-0.348,-0.244,0.400,0.083,-0.039,-0.028,1.226
ARB,Long/Short Trades,32,32,33,18,25,35,26,28,29,19,23,21,335
ARB,Long/Short Win Rate,0.380,0.500,0.360,0.440,0.520,0.340,0.230,0.210,0.450,0.470,0.430,0.330,0.390
ARB,Hybrid Returns,0.015,0.110,0.064,0.062,0.489,0.113,-0.044,0.005,0.605,-0.015,-0.173,0.012,1.822
ARB,Hybrid Trades,30,29,30,18,25,35,22,23,23,17,21,22,308
ARB,Hybrid Win Rate,0.370,0.410,0.430,0.440,0.560,0.340,0.320,0.350,0.480,0.350,0.240,0.410,0.400
AVAX,Buy Hold,-0.137,0.252,0.055,0.277,-0.394,-0.236,-0.104,-0.191,-0.089,-0.031,0.018,0.006,-0.561
AVAX,Long Returns,0.003,0.302,0.202,0.175,-0.248,-0.080,-0.055,-0.036,0.086,0.092,-0.066,-0.082,0.145
AVAX,Long Trades,9,13,9,14,15,11,9,7,10,5,8,6,115
AVAX,Long Win Rate,0.440,0.540,0.780,0.360,0.200,0.360,0.440,0.430,0.400,1.000,0.250,0.170,0.430
AVAX,Short Returns,0.099,0.023,0.007,-0.043,0.347,0.301,0.015,0.126,0.315,0.074,-0.013,-0.016,2.198
AVAX,Short Trades,24,25,25,25,25,26,18,16,17,16,12,11,237
AVAX,Short Win Rate,0.420,0.400,0.440,0.240,0.440,0.460,0.390,0.440,0.650,0.380,0.580,0.270,0.420
AVAX,Long/Short Returns,0.071,0.188,0.004,0.289,-0.035,0.328,-0.105,0.043,0.236,0.204,-0.080,-0.090,1.606
AVAX,Long/Short Trades,20,25,22,23,29,27,20,13,22,10,13,12,245
AVAX,Long/Short Win Rate,0.450,0.520,0.450,0.350,0.310,0.480,0.400,0.460,0.450,0.900,0.380,0.250,0.430
AVAX,Hybrid Returns,0.174,0.051,-0.034,0.025,0.465,0.292,0.031,0.111,0.280,0.110,-0.032,-0.010,2.480
AVAX,Hybrid Trades,20,23,21,21,21,25,17,14,16,14,11,11,225
AVAX,Hybrid Win Rate,0.550,0.430,0.430,0.290,0.520,0.480,0.410,0.500,0.620,0.360,0.550,0.360,0.440
BCH,Buy Hold,0.214,0.112,-0.025,0.024,-0.030,0.023,0.108,-0.176,-0.088,0.021,-0.055,-0.221,-0.171
BCH,Long Returns,0.106,0.048,0.033,0.093,-0.040,-0.114,0.070,-0.055,0.053,-0.076,-0.029,-0.077,-0.101
BCH,Long Trades,8,9,7,3,11,15,7,4,10,5,2,4,84
BCH,Long Win Rate,0.620,0.440,0.570,0.670,0.360,0.330,0.570,0.250,0.500,0.200,0.500,0.250,0.400
BCH,Short Returns,-0.018,-0.009,0.084,-0.025,0.113,-0.008,0.005,0.111,0.137,-0.106,0.074,0.181,0.505
BCH,Short Trades,16,14,12,8,15,27,18,14,20,11,3,6,163
BCH,Short Win Rate,0.380,0.570,0.420,0.120,0.400,0.520,0.440,0.430,0.400,0.180,1.000,0.500,0.420
BCH,Long/Short Returns,0.090,0.022,-0.010,0.131,-0.035,-0.200,-0.102,-0.055,0.106,-0.170,-0.064,0.173,-0.258
BCH,Long/Short Trades,13,16,13,5,20,32,15,12,16,10,4,7,174
BCH,Long/Short Win Rate,0.540,0.560,0.380,0.400,0.300,0.410,0.330,0.420,0.440,0.100,0.250,0.570,0.370
BCH,Hybrid Returns,-0.103,0.007,0.096,0.042,0.099,-0.013,-0.082,0.115,0.133,-0.110,0.018,0.148,0.225
BCH,Hybrid Trades,17,15,7,5,15,27,17,11,19,9,3,6,160
BCH,Hybrid Win Rate,0.350,0.470,0.570,0.200,0.400,0.560,0.350,0.450,0.370,0.110,0.670,0.500,0.420
CRV,Buy Hold,-0.208,0.810,-0.181,-0.097,-0.298,-0.122,-0.134,-0.211,-0.124,-0.133,0.069,-0.069,-0.671
CRV,Long Returns,-0.084,0.450,-0.192,-0.103,-0.011,-0.219,-0.113,-0.129,0.149,-0.050,-0.069,-0.120,-0.505
CRV,Long Trades,20,24,20,13,19,24,15,15,12,13,13,11,197
